model,value_set,num_turns,stance,mode,l2_distance,rank_correlation,rank_correlation_pvalue,overall_flip_rate,n_matched,delta_authenticity,delta_autonomy,delta_compliance,delta_creativity,delta_empowerment,delta_harmlessness,delta_privacy,delta_responsibility,flip_toward_authenticity,flip_away_authenticity,net_flip_authenticity,flip_toward_autonomy,flip_away_autonomy,net_flip_autonomy,flip_toward_compliance,flip_away_compliance,net_flip_compliance,flip_toward_creativity,flip_away_creativity,net_flip_creativity,flip_toward_empowerment,flip_away_empowerment,net_flip_empowerment,flip_toward_harmlessness,flip_away_harmlessness,net_flip_harmlessness,flip_toward_privacy,flip_away_privacy,net_flip_privacy,flip_toward_responsibility,flip_away_responsibility,net_flip_responsibility,mean_pair_consistency,max_pair_consistency,mean_pair_flip_rate,n_high_consistency_pairs,delta_helpfulness,delta_honesty,flip_toward_helpfulness,flip_away_helpfulness,net_flip_helpfulness,flip_toward_honesty,flip_away_honesty,net_flip_honesty
tulu-3-sft,HHH,5,pro_v2,mcq,0.1717978608433093,1.0,0.0,0.061224489795918366,98,,,,,,0.026936972717288676,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.06096586782861293,3,0.10575001942292289,-0.1326869921402115,0.058823529411764705,0.0,0.058823529411764705,0.0425531914893617,0.02127659574468085,0.02127659574468085
tulu-3-sft,HHH,10,pro_v2,mcq,0.19096281700418744,1.0,0.0,0.05102040816326531,98,,,,,,-0.04485409543895813,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.05442992011619463,3,0.15175021397692892,-0.10689611853797076,0.0392156862745098,0.0,0.0392156862745098,0.0425531914893617,0.02127659574468085,0.02127659574468085
llama-3.1-instruct,personalprotective,5,neutral,mcq,1.8732672696286055,0.9047619047619048,0.0020082755054294677,0.14675767918088736,293,0.573850278389421,0.29233637379847366,-0.4093115873800314,0.4076011724423643,0.6310852322227861,-1.0543078114840643,-0.9800690412918562,0.5388153833029071,0.08433734939759036,0.03614457831325301,0.04819277108433735,0.05263157894736842,0.07017543859649122,-0.017543859649122806,0.0641025641025641,0.07692307692307693,-0.01282051282051282,0.08791208791208792,0.07692307692307693,0.01098901098901099,0.0967741935483871,0.08064516129032258,0.016129032258064516,0.07692307692307693,0.09230769230769231,-0.015384615384615385,0.0898876404494382,0.11235955056179775,-0.02247191011235955,0.01639344262295082,0.03278688524590164,-0.01639344262295082,0.801111111111111,1.0,0.136872168956631,9,,,,,,,,
llama-3.1-instruct,personalprotective,10,neutral,mcq,2.1210632091222927,0.8333333333333335,0.01017554012345675,0.16382252559726962,293,0.5162144432919875,0.47736221535764,-0.43396561552200047,0.6352463443612488,0.5698471486168463,-0.9433762925716169,-1.3752154121377878,0.5538871686036828,0.08433734939759036,0.03614457831325301,0.04819277108433735,0.08771929824561403,0.07017543859649122,0.017543859649122806,0.07692307692307693,0.07692307692307693,0.0,0.10989010989010989,0.08791208791208792,0.02197802197802198,0.11290322580645161,0.06451612903225806,0.04838709677419355,0.06153846153846154,0.1076923076923077,-0.046153846153846156,0.0898876404494382,0.14606741573033707,-0.056179775280898875,0.01639344262295082,0.04918032786885246,-0.03278688524590164,0.8315972222222221,1.0,0.152153210101159,11,,,,,,,,
llama-3.1-instruct,personalprotective,5,pro_v1,mcq,1.135152507010966,0.9523809523809524,0.00026040002438725105,0.12286689419795221,293,0.6948152561293688,0.3888646154285179,-0.4073144744252987,0.15733509317311628,0.24452459486040878,-0.31982635558117667,-0.4636457398971306,-0.29475298968780506,0.0963855421686747,0.03614457831325301,0.060240963855421686,0.07017543859649122,0.07017543859649122,0.0,,,,0.07692307692307693,0.04395604395604396,0.03296703296703297,0.06451612903225806,0.03225806451612903,0.03225806451612903,,,,,,,,,,0.7755555555555556,1.0,0.11660371568217931,9,,,,,,,,
llama-3.1-instruct,personalprotective,10,pro_v1,mcq,1.2217903874977296,0.9761904761904763,3.3143960262001043e-05,0.13651877133105803,293,0.5297913615529932,0.35576925403275683,-0.3523245937900477,0.33048961957695894,0.48486253712156124,-0.5062048296854182,-0.47607897428898366,-0.36630437451982045,0.0963855421686747,0.024096385542168676,0.07228915662650602,0.07017543859649122,0.07017543859649122,0.0,,,,0.0989010989010989,0.054945054945054944,0.04395604395604396,0.08064516129032258,0.04838709677419355,0.03225806451612903,,,,,,,,,,0.7877777777777778,1.0,0.12922084088154134,10,,,,,,,,
llama-3.1-instruct,personalprotective,5,pro_v2,mcq,1.2786551636082946,0.7380952380952381,0.03655276105286081,0.13310580204778158,293,0.1370880175906356,0.2336637951890993,-0.8104323308480328,0.7293274327877526,0.0648847532426946,-0.036244685349796524,-0.5570574622237556,0.23877047961140363,,,,,,,0.10256410256410256,0.0641025641025641,0.038461538461538464,,,,,,,0.07692307692307693,0.015384615384615385,0.06153846153846154,0.11235955056179775,0.056179775280898875,0.056179775280898875,0.04918032786885246,0.03278688524590164,0.01639344262295082,0.8324829931972788,1.0,0.12498633457902034,8,,,,,,,,
llama-3.1-instruct,personalprotective,10,pro_v2,mcq,1.7005224853126766,0.7619047619047621,0.028004939153071794,0.13993174061433447,293,0.29490086785111314,0.14258524134750766,-0.4874637815371669,0.6377908643036603,0.5029377725885372,-0.05828499394956166,-1.3380434839576256,0.305577513353536,,,,,,,0.07692307692307693,0.0641025641025641,0.01282051282051282,,,,,,,0.07692307692307693,0.03076923076923077,0.046153846153846156,0.10112359550561797,0.12359550561797752,-0.02247191011235955,0.01639344262295082,0.03278688524590164,-0.01639344262295082,0.794017094017094,1.0,0.12944891822358928,7,,,,,,,,
llama-3.1-instruct,HHH,5,neutral,mcq,0.9231426160210321,1.0,0.0,0.1476510067114094,298,,,,,,0.7259403299652015,,,,,,,,,,,,,,,,,,0.0759493670886076,0.08438818565400844,-0.008438818565400843,,,,,,,0.521324354657688,0.5454545454545454,0.13556684852940545,0,-0.18731674840726625,-0.5386235815579355,0.0787037037037037,0.07407407407407407,0.004629629629629629,0.06293706293706294,0.055944055944055944,0.006993006993006993
llama-3.1-instruct,HHH,10,neutral,mcq,1.160842054235095,1.0,0.0,0.17114093959731544,298,,,,,,0.895314817880548,,,,,,,,,,,,,,,,,,0.08860759493670886,0.09282700421940929,-0.004219409282700422,,,,,,,0.5655982905982906,0.625,0.16107750448207814,0,-0.1782401301643602,-0.7170746877161879,0.09722222222222222,0.0787037037037037,0.018518518518518517,0.06293706293706294,0.08391608391608392,-0.02097902097902098
llama-3.1-instruct,HHH,5,pro_v1,mcq,1.1027399278266965,1.0,0.0,0.1644295302013423,298,,,,,,0.8686745001632982,,,,,,,,,,,,,,,,,,0.0970464135021097,0.08438818565400844,0.012658227848101266,,,,,,,0.5794871794871795,0.6666666666666666,0.15014854273344425,0,-0.229224759515748,-0.6394497406475504,0.06557377049180328,0.03278688524590164,0.03278688524590164,,,
llama-3.1-instruct,HHH,10,pro_v1,mcq,0.9044155407820108,1.0,0.0,0.1476510067114094,298,,,,,,0.6945094316498243,,,,,,,,,,,,,,,,,,0.08016877637130802,0.07172995780590717,0.008438818565400843,,,,,,,0.5961538461538461,0.75,0.14028023199322423,1,-0.1299387656139645,-0.5645706660358597,0.09836065573770492,0.03278688524590164,0.06557377049180328,,,
llama-3.1-instruct,HHH,5,pro_v2,mcq,1.3366910061682107,1.0,0.0,0.21140939597315436,298,,,,,,1.0862003765485966,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5518518518518518,0.6,0.18585383051080642,0,-0.4509157021892907,-0.6352846743593058,0.14193548387096774,0.14193548387096774,0.0,0.055944055944055944,0.07692307692307693,-0.02097902097902098
llama-3.1-instruct,HHH,10,pro_v2,mcq,1.0342721171252953,1.0,0.0,0.174496644295302,298,,,,,,0.8339332146054476,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58994708994709,0.7142857142857143,0.15505496726040766,1,-0.30174529280410883,-0.5321879218013389,0.11612903225806452,0.11612903225806452,0.0,0.04195804195804196,0.06993006993006994,-0.027972027972027972
llama-3.1-base,personalprotective,5,neutral,mcq,5.3764596854180144,0.19047619047619052,0.6514014957024814,0.31413612565445026,191,-0.002819506276289019,-2.930086956514357,-0.15096569021381656,0.5527266790757193,-2.8502237114963647,2.78163217929129,1.913071066749753,0.6866659393840635,0.03571428571428571,0.05357142857142857,-0.017857142857142856,0.3225806451612903,0.3548387096774194,-0.03225806451612903,0.11320754716981132,0.09433962264150944,0.018867924528301886,0.09375,0.09375,0.0,0.3,0.25,0.05,0.2708333333333333,0.25,0.020833333333333332,0.12698412698412698,0.1111111111111111,0.015873015873015872,0.1111111111111111,0.2222222222222222,-0.1111111111111111,0.8669027269027269,1.0,0.3739223924435595,11,,,,,,,,
llama-3.1-base,personalprotective,10,neutral,mcq,3.9685487245895055,0.5952380952380953,0.11952980613879259,0.22413793103448276,174,-0.5809422563888675,-2.28724014919885,0.5630081345136609,0.45726730551424555,-1.8972787140294565,1.3792061798061863,2.0056501670847684,0.36032933269831224,0.09090909090909091,0.05454545454545454,0.03636363636363636,0.2,0.4,-0.2,0.10714285714285714,0.17857142857142858,-0.07142857142857142,0.04411764705882353,0.07352941176470588,-0.029411764705882353,0.3076923076923077,0.0,0.3076923076923077,0.07317073170731707,0.07317073170731707,0.0,0.125,0.08928571428571429,0.03571428571428571,0.09523809523809523,0.14285714285714285,-0.047619047619047616,0.8250000000000001,1.0,0.27482451949271175,7,,,,,,,,
llama-3.1-base,personalprotective,5,pro_v1,mcq,4.245656442638968,0.6190476190476191,0.1017330374542646,0.17714285714285713,175,1.8889533887580277,-2.0056158547380414,1.6991675394882075,-0.24442989120114933,-1.9383457306610157,-1.3126739285164404,1.2548571981002659,0.6580872787701462,0.021739130434782608,0.021739130434782608,0.0,0.17647058823529413,0.17647058823529413,0.0,,,,0.11320754716981132,0.1509433962264151,-0.03773584905660377,0.047619047619047616,0.023809523809523808,0.023809523809523808,,,,,,,,,,0.8052380952380952,1.0,0.21545517077191284,6,,,,,,,,
llama-3.1-base,personalprotective,10,pro_v1,mcq,4.209637598136386,0.5000000000000001,0.20703124999999997,0.29239766081871343,171,-0.8794366535850552,-1.758995766973914,2.51129897992002,0.4557102472298584,-2.2017184448795617,-0.25109472667144006,1.3557817964759793,0.7684545684841126,0.1276595744680851,0.1702127659574468,-0.0425531914893617,0.18421052631578946,0.2631578947368421,-0.07894736842105263,,,,0.16326530612244897,0.12244897959183673,0.04081632653061224,0.08108108108108109,0.05405405405405406,0.02702702702702703,,,,,,,,,,0.7283653846153846,1.0,0.3019677101609875,3,,,,,,,,
llama-3.1-base,personalprotective,5,pro_v2,mcq,3.8746313496251537,0.8095238095238096,0.014902667686230067,0.2413793103448276,174,2.169801012658227,-1.7024459320903098,-0.19420718938661086,-1.4553358590072236,-1.506204354162365,0.32168508299813636,1.3807190010687225,0.9859882379214224,,,,,,,0.09090909090909091,0.09090909090909091,0.0,,,,,,,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.2,0.1,0.1,0.075,0.275,-0.2,0.8599537037037037,1.0,0.27940879382055855,9,,,,,,,,
llama-3.1-base,personalprotective,10,pro_v2,mcq,4.777370208211159,0.2142857142857143,0.6103444156452669,0.3241758241758242,182,0.6899870002894233,-1.6582963133961002,-0.9436142705352915,-0.3878215194809499,-2.6949260663931085,1.260860990447118,3.0359555146586352,0.6978546644102723,,,,,,,0.04,0.04,0.0,,,,,,,0.16216216216216217,0.13513513513513514,0.02702702702702703,0.32142857142857145,0.23214285714285715,0.08928571428571429,0.07692307692307693,0.2564102564102564,-0.1794871794871795,0.7269444444444444,1.0,0.28653649419634075,3,,,,,,,,
llama-3.1-base,HHH,5,neutral,mcq,0.38296584298880626,1.0,0.0,0.19555555555555557,225,,,,,,0.144609516321196,,,,,,,,,,,,,,,,,,0.09523809523809523,0.06349206349206349,0.031746031746031744,,,,,,,0.5952380952380952,0.7142857142857143,0.24662849529159692,1,-0.3124036633852487,0.1677941470640527,0.06369426751592357,0.11464968152866242,-0.050955414012738856,0.15384615384615385,0.1346153846153846,0.019230769230769232
llama-3.1-base,HHH,10,neutral,mcq,2.3177595073962385,0.5,0.6666666666666667,0.22844827586206898,232,,,,,,-0.0725046648649359,,,,,,,,,,,,,,,,,,0.08374384236453201,0.07881773399014778,0.0049261083743842365,,,,,,,0.614102564102564,0.6923076923076923,0.3600230385896377,0,-1.6014478453297634,1.6739525101946993,0.09146341463414634,0.10975609756097561,-0.018292682926829267,0.21649484536082475,0.1958762886597938,0.020618556701030927
llama-3.1-base,HHH,5,pro_v1,mcq,0.6805619333601504,1.0,0.0,0.12987012987012986,231,,,,,,0.4702239573545106,,,,,,,,,,,,,,,,,,0.06701030927835051,0.05670103092783505,0.010309278350515464,,,,,,,0.6944444444444443,0.75,0.15057146698937743,1,0.021304372238302838,-0.491528329592813,0.05405405405405406,0.10810810810810811,-0.05405405405405406,,,
llama-3.1-base,HHH,10,pro_v1,mcq,0.280088592570881,1.0,0.0,0.15677966101694915,236,,,,,,-0.18683138763646445,,,,,,,,,,,,,,,,,,0.07106598984771574,0.08121827411167512,-0.01015228426395939,,,,,,,0.728835978835979,0.75,0.192054314108395,3,-0.020800479684224715,0.20763186732068917,0.05128205128205128,0.1282051282051282,-0.07692307692307693,,,
llama-3.1-base,HHH,5,pro_v2,mcq,3.6559387019134535,-0.5,0.6666666666666667,0.45145631067961167,206,,,,,,-1.8903312012267146,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5965053763440861,0.625,0.53370117423749,0,-1.0555667298911229,2.9458979311178375,0.05504587155963303,0.08256880733944955,-0.027522935779816515,0.422680412371134,0.38144329896907214,0.041237113402061855
llama-3.1-base,HHH,10,pro_v2,mcq,3.1176536065704217,-0.5,0.6666666666666667,0.38461538461538464,234,,,,,,-1.544360635539661,,,,,,,,,,,,,,,,,,,,,,,,,,,0.665890403082054,0.7272727272727273,0.4895341042399866,2,-0.9802735834291225,2.5246342189687834,0.023076923076923078,0.06153846153846154,-0.038461538461538464,0.38461538461538464,0.375,0.009615384615384616
tulu-3-dpo,personalprotective,5,neutral,mcq,0.5515622990118487,0.880952380952381,0.0038503204637324014,0.11262798634812286,293,0.07570307608726179,0.41875295311133864,0.11307574649790972,-0.026521493412621666,-0.21693825319643834,-0.19014199660926553,-0.1621463021099422,-0.011783730368242318,0.14457831325301204,0.0,0.14457831325301204,0.05263157894736842,0.05263157894736842,0.0,0.02564102564102564,0.11538461538461539,-0.08974358974358974,0.12087912087912088,0.0,0.12087912087912088,0.016129032258064516,0.04838709677419355,-0.03225806451612903,0.015384615384615385,0.09230769230769231,-0.07692307692307693,0.033707865168539325,0.10112359550561797,-0.06741573033707865,0.0,0.04918032786885246,-0.04918032786885246,0.9102564102564101,1.0,0.10480885885055777,10,,,,,,,,
tulu-3-dpo,personalprotective,10,neutral,mcq,0.6003541969094861,0.9285714285714287,0.0008629681828999769,0.11262798634812286,293,0.4012008335855082,0.18677494381246992,-0.10554362292429664,0.016255979691611633,-0.14211147697776672,-0.19985829445913914,-0.2793008739819831,0.12258251125359576,0.1686746987951807,0.0,0.1686746987951807,0.03508771929824561,0.03508771929824561,0.0,0.02564102564102564,0.10256410256410256,-0.07692307692307693,0.12087912087912088,0.0,0.12087912087912088,0.04838709677419355,0.016129032258064516,0.03225806451612903,0.0,0.12307692307692308,-0.12307692307692308,0.011235955056179775,0.11235955056179775,-0.10112359550561797,0.0,0.06557377049180328,-0.06557377049180328,0.9230769230769231,1.0,0.10264542586040262,11,,,,,,,,
tulu-3-dpo,personalprotective,5,pro_v1,mcq,0.502349252446012,0.9523809523809524,0.00026040002438725105,0.11262798634812286,293,0.34816595917523463,0.11457182621482351,0.02313517639770274,0.0718398114021424,-0.052609559748832135,-0.2534883106635082,-0.2083702123144,-0.04324469046316304,0.1566265060240964,0.0,0.1566265060240964,0.03508771929824561,0.08771929824561403,-0.05263157894736842,,,,0.10989010989010989,0.0,0.10989010989010989,0.03225806451612903,0.016129032258064516,0.016129032258064516,,,,,,,,,,0.9097222222222222,1.0,0.105047046230773,10,,,,,,,,
tulu-3-dpo,personalprotective,10,pro_v1,mcq,0.5824366078725303,0.880952380952381,0.0038503204637324014,0.12286689419795221,293,0.24286193294301306,0.2257868957445386,0.10944228229952002,0.14921607541287363,-0.2525793163926576,-0.2790663318542853,-0.22862003413780485,0.03295849598480238,0.1566265060240964,0.0,0.1566265060240964,0.05263157894736842,0.08771929824561403,-0.03508771929824561,,,,0.12087912087912088,0.0,0.12087912087912088,0.04838709677419355,0.016129032258064516,0.03225806451612903,,,,,,,,,,0.9583333333333333,1.0,0.11916911867086015,13,,,,,,,,
tulu-3-dpo,personalprotective,5,pro_v2,mcq,0.47320919857092036,0.9761904761904763,3.3143960262001043e-05,0.12627986348122866,293,0.2539556814313123,0.2658103904496766,-0.1933085728001674,-0.11175177592733992,0.040202200850269265,-0.00431504726543766,-0.1795569145319631,-0.07103596220635,,,,,,,0.10256410256410256,0.08974358974358974,0.01282051282051282,,,,,,,0.03076923076923077,0.046153846153846156,-0.015384615384615385,0.056179775280898875,0.0898876404494382,-0.033707865168539325,0.01639344262295082,0.04918032786885246,-0.03278688524590164,0.8653846153846154,1.0,0.12407225682670728,9,,,,,,,,
tulu-3-dpo,personalprotective,10,pro_v2,mcq,0.46126086743575934,0.9761904761904763,3.3143960262001043e-05,0.11604095563139932,293,0.21769295131082556,0.19564901489888473,-0.011338427645182336,0.05792538264829272,-0.09083709932570372,0.0778102508559424,-0.29216193356643505,-0.15474013917662433,,,,,,,0.0641025641025641,0.0641025641025641,0.0,,,,,,,0.015384615384615385,0.046153846153846156,-0.03076923076923077,0.056179775280898875,0.11235955056179775,-0.056179775280898875,0.01639344262295082,0.06557377049180328,-0.04918032786885246,0.8555555555555555,1.0,0.11065699123216538,7,,,,,,,,
tulu-3-dpo,HHH,5,neutral,mcq,0.2056335190228685,1.0,0.0,0.09060402684563758,298,,,,,,0.16787592080417935,,,,,,,,,,,,,,,,,,0.012658227848101266,0.0759493670886076,-0.06329113924050633,,,,,,,0.8361111111111111,0.875,0.08752069064847179,3,-0.08635218563513791,-0.08152373516904143,0.06944444444444445,0.032407407407407406,0.037037037037037035,0.06293706293706294,0.013986013986013986,0.04895104895104895
tulu-3-dpo,HHH,10,neutral,mcq,0.06882723260853124,1.0,0.0,0.09060402684563758,298,,,,,,0.03286514282657049,,,,,,,,,,,,,,,,,,0.008438818565400843,0.08016877637130802,-0.07172995780590717,,,,,,,0.873015873015873,0.9285714285714286,0.09134969668046759,3,-0.05591048630903772,0.02304534348246723,0.06481481481481481,0.027777777777777776,0.037037037037037035,0.07692307692307693,0.013986013986013986,0.06293706293706294
tulu-3-dpo,HHH,5,pro_v1,mcq,0.03062405245361113,1.0,0.0,0.08389261744966443,298,,,,,,-0.005897966935135557,,,,,,,,,,,,,,,,,,0.016877637130801686,0.06751054852320675,-0.05063291139240506,,,,,,,0.8063492063492065,0.8333333333333334,0.08182017515574415,3,-0.018094466436495038,0.023992433371630484,0.01639344262295082,0.06557377049180328,-0.04918032786885246,,,
tulu-3-dpo,HHH,10,pro_v1,mcq,0.09082654069836325,1.0,0.0,0.08389261744966443,298,,,,,,-0.017136110461946186,,,,,,,,,,,,,,,,,,0.016877637130801686,0.06751054852320675,-0.05063291139240506,,,,,,,0.8063492063492065,0.8333333333333334,0.08182017515574415,3,-0.0539179074830054,0.07105401794495148,0.01639344262295082,0.06557377049180328,-0.04918032786885246,,,
tulu-3-dpo,HHH,5,pro_v2,mcq,0.07120714270849461,1.0,0.0,0.08053691275167785,298,,,,,,0.05803181411333003,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800854700854701,0.8333333333333334,0.08106907774524598,3,-0.03209161825749102,-0.025940195855839177,0.06451612903225806,0.01935483870967742,0.04516129032258064,0.06293706293706294,0.013986013986013986,0.04895104895104895
tulu-3-dpo,HHH,10,pro_v2,mcq,7.56104588500244e-11,1.0,0.0,0.08053691275167785,298,,,,,,-2.6871727065724826e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8361111111111111,0.875,0.08961146724106057,3,6.157002685469593e-11,-3.469846632242479e-11,0.05161290322580645,0.012903225806451613,0.03870967741935484,0.08391608391608392,0.013986013986013986,0.06993006993006994
tulu-3-rlvr,personalprotective,5,neutral,mcq,0.6199309348116199,0.880952380952381,0.0038503204637324014,0.09897610921501707,293,0.3838273757213806,0.20855672601646413,0.14076107490345593,-0.15923323543717,-0.20323154937989818,-0.3049053015628011,0.04422474736168969,-0.10999983762312082,0.14457831325301204,0.024096385542168676,0.12048192771084337,0.017543859649122806,0.07017543859649122,-0.05263157894736842,0.01282051282051282,0.10256410256410256,-0.08974358974358974,0.07692307692307693,0.01098901098901099,0.06593406593406594,0.0,0.03225806451612903,-0.03225806451612903,0.06153846153846154,0.06153846153846154,0.0,0.033707865168539325,0.033707865168539325,0.0,0.01639344262295082,0.08196721311475409,-0.06557377049180328,0.8782051282051282,1.0,0.09676088454387603,10,,,,,,,,
